Average Waiting Time (min),Median Waiting Time (min),P95 Waiting Time (min),Maximum Waiting Time (min),Average Time in System (min),Average Queue Length,Throughput (students/hour),Officer Utilization (%),Scenario,Replication,Arrival Rate (students/hour)
5.998994587342927,2.8324109575231837,18.84155229312603,28.2204788880523,10.24216963129377,0.9331239668481518,9.33280355495154,66.00119855744343,Normal,1,10
4.2403283917835175,2.659354840092089,13.325120553668905,22.360798998579895,8.426748365896728,0.7431845182183445,10.515947580735675,73.37362166453222,Normal,2,10
12.000707490632516,8.2222344251917,37.76546970332743,46.444398162790876,16.882809785152514,1.8441751132711446,9.2203319581483,75.02433968185312,Normal,3,10
9.460827668906703,6.695899042565134,28.83003222115293,40.26666184022372,14.087144313647054,1.5019649703193023,9.52537149739376,73.44564117621347,Normal,4,10
3.137916639596871,0.2973892735264201,11.699725460368457,19.418152270572726,6.83088490721195,0.5213436719057455,9.968595060690765,61.35617538639235,Normal,5,10
4.375614198867163,1.6676577431843356,19.184063867295194,25.197864713375054,8.350706412253647,0.7366469122292115,10.101168138908514,66.92179135847147,Normal,6,10
6.782716187061053,2.5140091729321483,27.046514456446253,36.95671142645449,10.97425381850252,1.109735848589774,9.816738468639553,68.57871451553625,Normal,7,10
14.328515885375241,13.042527996491032,35.419517135210036,47.401516551135444,18.542279717755285,2.831638184938185,11.857354415170244,83.27348530392703,Normal,8,10
8.000265332684116,3.327423769375187,31.59359773690787,42.87869660222873,12.475052727588455,1.3059866934365003,9.794575348152891,73.0477371772589,Normal,9,10
3.1674454237101646,0.46123209457794445,13.769015688892132,24.44635805808832,6.579503137489045,0.5568072740424488,10.547438700116322,59.98078262890295,Normal,10,10
7.970235397949086,7.504738293598223,19.53299232335732,27.6471292858389,12.251057425320456,1.4000780438619933,10.539799445990743,75.19834272078954,Normal,11,10
6.913419960736913,2.2716884323597597,29.368027991557906,40.35502851716433,11.178728637980944,1.0326681359499132,8.962291963873458,63.711569469173156,Normal,12,10
9.864632118564495,6.326228645152582,31.94240116954675,41.13576228035448,14.110809705058474,1.670330529715376,10.159510317097013,71.8984749970194,Normal,13,10
4.088131273347276,1.493888766754985,15.309876587226078,24.8422502867067,8.063202525656488,0.6608065808895335,9.698415291079618,64.2531530275444,Normal,14,10
3.6359858032114643,1.2662521340755006,17.877770063471367,23.059002281354594,7.86786164955962,0.5607249396905956,9.25292292167926,65.26203503395938,Normal,15,10
5.693238830654249,1.4529785243148865,22.16726677366113,33.88030212151256,9.601981039971138,0.903933390644535,9.526388239089464,62.060326354114956,Normal,16,10
3.6803126835703246,1.1929172903869016,12.403482384239503,18.84819210720582,7.0794062414016015,0.5952196838721496,9.703844239039793,54.97379073186386,Normal,17,10
9.472185172226567,7.058846765546463,32.12617875954433,38.76981783068723,13.86185267823369,1.5509924956771277,9.82450702225374,71.87719873021004,Normal,18,10
6.167540137170477,1.9623223884894259,24.037839586265985,40.85881482778484,10.427619793018199,0.9501977080993707,9.243857553899591,65.63261584486983,Normal,19,10
5.587262224037,4.445576108662237,17.169079904054605,23.029273325534064,9.832235152036056,0.9861209199777481,10.589668575804629,74.92142736795496,Normal,20,10
3.7563652564212875,1.3185490226137517,14.220167081625814,21.806069623352357,7.667660135301752,0.6186224060826928,9.881186155023565,64.41372134234703,Normal,21,10
2.4815602581385314,0.0,12.993653005412696,15.795523112138994,5.681895349085326,0.45557891833680386,11.015140579625726,58.75356821448041,Normal,22,10
3.915814271641223,1.8548313005825605,17.723551008968972,29.136769548287475,8.046284103689413,0.528811948788568,8.102712418486517,55.78001533720127,Normal,23,10
2.8467975365684812,0.03617453611175847,13.829160031942637,19.067867734459814,6.458505949442199,0.4516103400492348,9.518281526833217,57.29542911094011,Normal,24,10
16.628647962608394,11.37718292907195,49.86979346937353,62.44728330427711,21.825690717419874,2.6207313247978528,9.456203525473256,81.90715670013927,Normal,25,10
6.127837674691099,2.8699330593416903,21.7008426892566,24.303978949455995,10.182373662100021,1.0541639687530078,10.321722193525446,69.7496568094771,Normal,26,10
5.633895442840078,2.0294802951231503,25.302848110976292,29.455226121932323,9.936172337760027,0.747981131934753,7.965868087438537,57.118950367611674,Normal,27,10
7.708170055594431,3.381696840739423,29.70660090270352,38.52927685599144,11.855987097160176,1.1586852038022348,9.019146143211655,62.34961345530873,Normal,28,10
9.056496123706124,8.572349020585493,19.479151814028665,23.767247478843615,13.161570637625701,1.8891972648788393,12.516080650222175,85.63240615231501,Normal,29,10
14.029813757307865,9.282570326575524,54.30895431072401,60.89214440150698,18.595937756103446,2.3346304986529116,9.98429717901357,75.98256493366816,Normal,30,10
48.10911348323947,39.32263495356585,99.63905218155979,106.11982493730284,52.352288527190325,11.252630638550261,14.033886501530132,99.24706162155205,High,1,20
72.89182094875629,73.40524076126825,121.30474412862523,133.41846139838594,77.0782409228695,17.395304861325922,14.318729839570072,99.907027673845,High,2,20
92.37306297040816,96.10433508172686,151.7293999662452,165.15779035789262,97.25516526492818,18.872579036887373,12.258495126181902,99.74537863815813,High,3,20
84.55778057429727,95.12122159220748,156.91305320193706,162.1766375395182,89.18409721903761,17.81856793849803,12.643591979930191,97.48876671009444,High,4,20
54.487238311627195,56.49164416049436,84.61247725086727,96.47254654700046,58.18020657924227,14.470849100469435,15.934941335481254,98.07872116373356,High,5,20
56.04676789435076,55.65887193549402,95.7079994654324,101.8192042294001,60.02186010773724,14.022211269439747,15.011261269379766,99.45191297503601,High,6,20
79.94329174870629,95.36075599021645,127.18612565208063,140.26644618301128,84.13482938014776,18.976448968885087,14.24243251969332,99.49615311593372,High,7,20
102.10957930836474,110.56817536478655,180.65408993731535,184.79957238746942,106.32334314074477,24.110973427519873,14.167705081639516,99.49893876806595,High,8,20
67.87507343593748,48.29325241584431,146.56499830357393,153.27580964037242,72.34986083084182,14.769344568468705,13.055760078764512,97.36958438558455,High,9,20
44.91974784192413,54.30300415426281,68.89627300611507,71.37516748497237,48.33180555570299,12.92473370797443,17.26376615486469,98.17494412930134,High,10,20
76.60477200398543,76.22904286036979,148.22201650011212,153.89803225354405,80.88559403135682,17.866127973127053,13.993484352800543,99.8393600952419,High,11,20
47.502530950744784,53.54745347876407,98.81859169660935,122.93115133551561,51.76783962798882,10.797430311801053,13.638132658232722,96.95140928094202,High,12,20
97.40729610103668,98.97817863516988,137.65393720763802,144.5130612673291,101.65347368753064,22.666069306341203,13.961625184317157,98.8058998811289,High,13,20
48.97076848533133,39.0773455701964,102.88078430246874,115.07975504134885,52.94583973764053,11.700198660565425,14.335325773868663,94.97323562698766,High,14,20
60.890973748980066,56.747344399913004,101.37416577658719,108.57878568247935,65.12284959532822,13.990529125545226,13.785815792554544,97.23310145786076,High,15,20
78.66919464434866,86.58075206182122,132.94134912500232,141.16222748940527,82.57793685366556,19.96198190027858,15.224751180324368,99.18271260813498,High,16,20
29.38329099898877,30.798883107694518,51.27745266520159,55.43993408346856,32.782384556820034,8.526641265140658,17.411204072615497,98.6371859955217,High,17,20
79.26310077840655,94.93999696836809,139.4772256880382,149.1483267709262,83.65276828441367,17.95951782036259,13.59486392330636,99.46155402121067,High,18,20
62.79604632433257,62.19295599203883,109.81349430213486,113.93577367923064,67.0561259801803,14.464443888988422,13.820402463825488,98.1266922862844,High,19,20
69.19560352864777,66.30384229177358,141.0994066870433,148.47478810910704,73.44057645664684,16.22639831724403,14.070025397373215,99.54479484684745,High,20,20
66.52578176225806,76.6075641851058,107.7019517797908,113.58588293608727,70.4370766411385,16.22943153379527,14.637421255831988,95.41878466325286,High,21,20
18.871276147355434,16.98012970194342,44.34547970651996,53.70070868670064,22.07161123830223,5.860157572526316,18.63199137175747,99.38102633542228,High,22,20
30.830693387857146,33.30837215579578,47.27315955851945,59.8632885890074,34.96116321990533,7.351999433299349,14.307818525148665,98.4966879675779,High,23,20
40.49510406161881,42.16995880985027,71.67680156760173,77.1602266517935,44.10681247449253,11.174817572398581,16.557286859262653,99.66682040660406,High,24,20
